,darija,eng
189,Tmma3,greedy
190,Tamma3,greedy
191,Temma3,greedy
192,anani,selfish
193,anaani,selfish
194,skhi,generous
195,s5i,generous
196,s9ram,stingy
197,se9ram,stingy
198,bakhil,stingy
199,ba5il,stingy
200,Drief,kind
201,Drayaf,kind
202,Drayef,kind
203,Dryef,kind
204,Sbbar,patient
205,Sabbar,patient
206,m2ddb,polite
207,m2ddeb,polite
208,m2eddeb,polite
209,m2addeb,polite
210,m3gaz,lazy
211,me3gaz,lazy
212,ma3gaz,lazy
213,mojta8id,hardworking
214,mojtahid,hardworking
215,moujta8id,hardworking
216,choja3,brave
217,chojaa3,brave
218,za3em,brave
219,zaa3em,brave
220,za3m,brave
221,fDoli,curious
222,fDouli,curious
223,mghrour,arrogant
224,mghror,arrogant
225,mtwaD3,humble
226,metwaDe3,humble
227,mtwaDa3,humble
228,ja8il,ignorant
229,jaa8il,ignorant
230,jahil,ignorant
231,3abiT,silly
232,dki,smart
233,7akim,wise
234,hakim,wise
235,nabigha,genius
236,naabigha,genius
237,amine,trustworthy
238,kddab,liar
239,keddab,liar
240,kaddab,liar
241,ghddar,betrayer
242,gheddar,betrayer
243,ghaddar,betrayer
244,nSSab,swindler
245,neSSab,swindler
246,naSSab,swindler
247,nyya,naive
248,nia,naive
249,nya,naive
250,mtfa2l,optimistic
251,mtfa2el,optimistic
252,motafa2il,optimistic
253,mtcha2m,pessimistic
254,mtcha2em,pessimistic
255,motacha2im,pessimistic
256,komik,funny
257,comic,funny
258,ytim,orphan
259,yatim,orphan
260,itym,orphan
261,ytym,orphan
262,7amla,pregnant
263,hamla,pregnant
264,ijabi,positive
265,silbi,negative
266,waa9i3i,realistic
267,wa9i3i,realistic
268,tay3yyef,disgusting
269,tay3yyf,disgusting
270,kay3iyyef,disgusting
271,kay3yyaf,disgusting
272,tay3adi,contagious
273,kay3adi,contagious
274,3ma,blind
275,Smk,deaf
276,Smek,deaf
277,Smak,deaf
278,zizoun,mute
279,zizon,mute
280,mchllel,paralyzed
281,mchallal,paralyzed
282,mchellal,paralyzed
283,mchallel,paralyzed
284,mo3wwa9,handicapped
285,mo3a9,handicapped
286,mo3aa9,handicapped
287,3agr,sterile
288,3ager,sterile
289,3agar,sterile
290,mj8oul,unknown
291,mj8ol,unknown
292,mjhoul,unknown
293,m9boul,acceptable
294,ma9boul,acceptable
295,m9bol,acceptable
296,m39ol,reasonable
297,m39oul,reasonable
298,mn7az,biased
299,men7az,biased
300,ma7az,biased
301,mn7aaz,biased
302,mo7ayid,neutral
303,mo7aayid,neutral
304,waaD7,clear
305,waaDe7,clear
306,mojrim,criminal
307,moujrim,criminal
308,9ttal,murderer
309,9ettal,murderer
310,ghali,expensive
311,rkhiS,cheap
312,ga3,all
313,lkhrin,other
314,khrin,other
315,zwin,good
316,lkher,last
317,b7al,same
318,sghir,little
319,mghyyer,different
320,lli mora,next
321,3aDim,great
322,ma7lli,local
323,ma7alli,local
324,jtima3i,social
325,jtimaa3i,social
326,mo8im,important
327,mohim,important
328,mohimm,important
329,waTani,national
330,3aali,high
331,3ali,high
332,Twil,long
333,ttani,second
334,tani,second
335,waas3,large
336,was3,large
337,3aamm,general
338,3amm,general
339,momkin,possible
340,moumkin,possible
341,chaabb,young
342,syasi,political
343,siasi,political
344,siyasi,political
345,3omoumi,public
346,3omomi,public
347,mo7ddad,particular
348,mojoud,available
349,mojod,available
350,bkri,early
351,bekri,early
352,asaasi,main
353,asasi,main
354,ra2isi,major
355,9tiSadi,economic
356,i9tiSadi,economic
357,mo2kkad,sure
358,ghaliban,likely
359,ghaaliban,likely
360,wa7id,only
361,wa7iid,only
362,dawli,international
363,m2kked,certain
364,mo2kkad,certain
365,mo3yyan,certain
366,momyyaz,special
367,S3ib,difficult
368,m7loul,open
369,kollchi,whole
370,neSS,half
371,7orr,free
372,markazi,central
373,mochtarak,common
374,cha2i3,common
375,chaa2i3,common
376,mtchab8,similar
377,Darouri,necessary
378,Darori,necessary
379,S7i7,true
380,3aazib,single
381,3azib,single
382,wa7id,single
383,khaSS,private
384,khaaSS,private
385,chkhSi,personal
386,chekhSi,personal
387,chakhSi,personal
388,maali,financial
389,ajnabi,foreign
390,chdid,strong
391,naa9S,low
392,mtnwwe3,various
393,mtnowwe3,various
394,7aaDir,present
395,7aDir,present
396,malaki,royal
397,khaT2,wrong
398,khaTi2,wrong
399,khaaT2,wrong
400,bo7do,individual
401,7aali,current
402,7ali,current
403,9aanouni,legal
404,9anouni,legal
405,9anoni,legal
406,7adit,modern
407,lkher,final
408,llekher,final
409,zwin,nice
410,mzyan,fine
411,mzian,fine
412,mezian,fine
413,9rib,close
414,m39ol,serious
415,m39oul,serious
416,saabi9,previous
417,sabi9,previous
418,mo3tabar,significant
419,ra2is,prime
420,Sinaa3i,industrial
421,Sina3i,industrial
422,mo7ddad,specific
423,monaasib,appropriate
424,monasib,appropriate
425,3aali,top
426,myyet,dead
427,mt2ssef,sorry
428,naaj7,successful
429,naj7,successful
430,7rbi,military
431,7arbi,military
432,7erbi,military
433,asaasi,basic
434,asasi,basic
435,wa3i,aware
436,waa3i,aware
437,mch8our,popular
438,mch8or,popular
439,mi8ani,professional
440,mobachir,direct
441,mobaachir,direct
442,mofid,useful
443,f33al,effective
444,f33aal,effective
445,wajd,ready
446,mDllem,dark
447,mDellem,dark
448,mDallem,dark
449,mosta9ill,independent
450,t9lidi,traditional
451,ghrbi,western
452,gherbi,western
453,gharbi,western
454,mo3tabar,considerable
455,bard,cold
456,baard,cold
457,ms2oul,responsible
458,ms2ol,responsible
459,kaml,complete
460,kaaml,complete
461,Tibbi,medical
462,skhoun,hot
463,skhon,hot
464,mo8imm,essential
465,mohimm,essential
466,dakari,male
467,awwali,primary
468,madani,civil
469,most9bali,future
470,by2i,environmental
471,bi2i,environmental
472,waD7,obvious
473,lkbir,senior
474,nawawi,nuclear
475,sanawi,annual
476,jihawi,regional
477,ji8awi,regional
478,tijari,commercial
479,tijaari,commercial
480,llekher,latter
481,taTbi9i,practical
482,3amali,practical
483,3ami9,deep
484,rsmi,official
485,rasmi,official
486,resmi,official
487,ra2isi,chief
488,montaDim,regular
489,m2louf,usual
490,m2lof,usual
491,zayd,additional
492,nachT,active
493,standar,standard
494,9wi,powerful
495,wasaT,middle
496,wsT,middle
497,gddami,front
498,mosta7il,impossible
499,mnzili,domestic
500,fi3li,actual
501,ti9ni,technical
502,3adi,ordinary
503,3aadi,ordinary
504,dakhili,internal
505,daakhili,internal
506,momtaz,excellent
507,momtaaz,excellent
508,Tri,fresh
509,b3id,far
510,mo7tamal,potential
511,chamali,northern
512,dini,religious
513,dyni,religious
514,diini,religious
515,ta9afi,cultural
516,ta9aafi,cultural
517,mochtarak,joint
518,bo7do,alone
519,aamin,safe
520,2aamin,safe
521,mo7afiD,conservative
522,mo7aafiD,conservative
523,chkli,formal
524,monasib,proper
525,bzzaf,very
526,9arawi,rural
527,mbda2i,initial
528,maghaddch,unable
529,mo3ddal,average
530,dafi,warm
531,daafi,warm
532,ghrib,strange
533,gharib,strange
534,mola2im,suitable
535,molaa2im,suitable
536,m7bob,lovely
537,m7boub,lovely
538,fawri,immediate
539,ijmali,overall
540,ijmaali,overall
541,msawi,equal
542,kafi,sufficient
543,dimo9raTi,democratic
544,dimou9raaTi,democratic
545,chr9i,eastern
546,cher9i,eastern
547,char9i,eastern
548,8adi2,quiet
549,8aadi2,quiet
550,t3limi,educational
551,t3liimi,educational
552,S7i7,correct
553,3ilmi,scientific
554,ontawi,female
555,39li,mental
556,khaTir,dangerous
557,7arij,critical
558,mDobl,double
559,mDoubl,double
560,sri3,quick
561,mamo7tamalch,unlikely
562,m2lof,familiar
563,m2louf,familiar
564,tarikhi,historical
565,taarikhi,historical
566,janoubi,southern
567,janobi,southern
568,mitaali,perfect
569,mitali,perfect
570,mSro3,perfect
571,mSrou3,perfect
572,yawmi,daily
573,mota7rrir,liberal
574,liberali,liberal
575,7aDari,urban
576,fogani,upper
577,fo9ani,upper
578,bayn,apparent
579,bayen,apparent
580,khaD3,subject
581,khaaD3,subject
582,sghiwwer,tiny
583,sghiwwr,tiny
584,mDwwi,bright
585,mDoowi,bright
586,akhla9i,moral
587,akhlaa9i,moral
588,badil,alternative
589,badiil,alternative
590,jddab,attractive
591,radd lbal,careful
592,7ayawi,vital
593,8amaji,wild
594,khawi,empty
595,damawi,bloody
596,khariji,external
597,charf,elderly
598,nisbi,relative
599,9dim,ancient
600,mkhtaSr,brief
601,mkhtaSer,brief
602,gadd,capable
603,9add,capable
604,namoudaji,typical
605,mtisse3,broad
606,mtiss3,broad
607,mDyye9,narrow
608,kollo,entire
609,ra2i3,wonderful
610,raa2i3,wonderful
611,tabt,constant
612,mitali,ideal
613,mitaali,ideal
614,akadimi,academic
615,9aaser,minor
616,9aaSir,minor
617,mamo8immch,minor
618,was3,vast
619,naadir,rare
620,nadir,rare
621,7aadd,severe
622,asaasi,fundamental
623,asasi,fundamental
624,daym,permanent
625,ra8ib,terrible
626,ra8iib,terrible
627,mriD,ill
628,ghliD,thick
629,maSiri,crucial
630,maSiiri,crucial
631,daakhili,inner
632,dakhili,inner
633,taab3,subsequent
634,mo3aSir,contemporary
635,mo3aaSir,contemporary
636,kbir,grand
637,sab9,prior
638,taanawi,secondary
639,tanawi,secondary
640,fchkel,odd
641,fchkl,odd
642,fchkal,odd
643,8a2il,massive
644,8aa2il,massive
645,haa2il,massive
646,bo7do,unique
647,7aadd,sharp
648,mriD,sick
649,choyou3i,communist
650,Saafi,net
651,mTwwel,long-term
652,modnib,guilty
653,chaamil,extensive
654,chamil,extensive
655,Dakhm,enormous
656,7yy,alive
657,7eyy,alive
658,7ayy,alive
659,zira3i,agricultural
660,ziraa3i,agricultural
661,ra2isi,principal
662,f33al,efficient
663,f33aal,efficient
664,mz8ar,lucky
665,mz8aar,lucky
666,3orfi,conventional
667,taTwwo3i,voluntary
668,taTawwo3i,voluntary
669,dramatiki,dramatic
670,mo299at,temporary
671,mow99at,temporary
672,da8abi,golden
673,7ibbi,friendly
674,m3tamd,dependent
675,tanafosi,competitive
676,tanaafosi,competitive
677,jdri,radical
678,jedri,radical
679,jadri,radical
680,7ssas,sensitive
681,7essas,sensitive
682,kharj,outside
683,khaarij,outside
684,khaarj,outside
685,5arj,outside
686,msTT7,flat
687,mseTTa7,flat
688,msaTTe7,flat
689,msaTTa7,flat
690,3aaTifi,emotional
691,3aTifi,emotional
692,khaT2,false
693,khaaTe2,false
694,monasib,adequate
695,monaasib,adequate
696,Si77i,healthy
697,chaamil,global
698,chamil,global
699,sri3,rapid
700,idaari,administrative
701,idari,administrative
702,skkouti,silent
703,skkoti,silent
704,l7dd,maximum
705,l7edd,maximum
706,D3if,weak
707,ml7ouD,remarkable
708,sirri,secret
709,3ziz,dear
710,jama3i,mass
711,fazg,wet
712,faazg,wet
713,9as7,solid
714,9ase7,solid
715,mota2lli9,brilliant
716,mt2elle9,brilliant
717,mt2alla9,brilliant
718,electroni,electronic
719,iliktroni,electronic
720,elektroni,electronic
721,moTla9,absolute
722,kaytchaf,visual
723,tlkhcheb,wooden
724,tlkhchab,wooden
725,Saarim,firm
726,Sarim,firm
727,tDDo,electric
728,kimya2i,chemical
729,saami,supreme
730,sami,supreme
731,adabi,literary
732,khaaliS,pure
733,9as7,rough
734,9aas7,rough
735,mojrrad,mere
736,aSiil,genuine
737,a9Saa,extreme
738,a9Sa,extreme
739,ba8t,pale
740,mntachr,widespread
741,mentacher,widespread
742,mntacher,widespread
743,katoliki,catholic
744,catoliki,catholic
745,klasiki,classical
746,classiki,classical
747,mofDDal,favorite
748,chtiraki,socialist
749,3rram,numerous
750,7lo,sweet
751,7low,sweet
752,7lou,sweet
753,mkhtalf,distinct
754,mkhtalef,distinct
755,tay9,confident
756,Dedd,opposite
757,mofid,helpful
758,S3ib,tough
759,mtnas9,consistent
760,mtnase9,consistent
761,sri3,fast
762,msta9err,stable
763,msta9arr,stable
764,goud,straight
765,kaykhle3,awful
766,stratiji,strategic
767,momtaz,outstanding
768,kliniki,clinical
769,a9all haja,minimum
770,a9all 7aja,minimum
771,wa3i,conscious
772,waa3i,conscious
773,msyTer,dominant
774,msiTer,dominant
775,bard,cool
776,dostouri,constitutional
777,dostori,constitutional
778,ghDban,mad
779,gheDban,mad
780,ghaDban,mad
781,naDari,theoretical
782,m8moum,anxious
783,mhmoum,anxious
784,m8mom,anxious
785,mo9ddas,holy
786,sakani,residential
787,monasib,fit
788,monaasib,fit
789,7eyy,live
790,7ayy,live
791,las9,accurate
792,mousi9i,musical
793,mosi9i,musical
794,fo9 l3ada,extraordinary
795,faw9 l3ada,extraordinary
796,fo9 l3aada,extraordinary
797,khari9 lil3ada,extraordinary
798,khar9 ll3ada,extraordinary
799,nazih,honest
800,nazi8,honest
801,d9i9,precise
802,bayn,visible
803,9lil,slight
804,dyal lflous,monetary
805,3an bo3d,remote
806,Sari7,plain
807,Sarii7,plain
808,b3id,distant
809,chomour,unemployed
810,chomor,unemployed
811,mchomer,unemployed
812,mchomr,unemployed
813,wagf,still
814,Drief,gentle
815,Driyef,gentle
816,nefsi,psychological
817,nfsi,psychological
818,SSghir,junior
819,mles,smooth
820,3anif,violent
821,3aniif,violent
822,haykali,structural
823,8aykali,structural
824,mdwwer,round
825,mdowwer,round
826,mdowwar,round
827,7ssas,sensible
828,mol99ab,so-called
829,mttaSel,continuous
830,9rib,near
831,momtann,grateful
832,zwin,pretty
833,waD7,evident
834,mawsimi,occasional
835,momti3,pleasant
836,kawni,universal
837,zamil,fellow
838,klasiki,classic
839,mossekh,dirty
840,mmossekh,dirty
841,kaykaafe2,equivalent
842,mrkhi,loose
843,mobdi3,creative
844,ni8aa2i,ultimate
845,loghawi,linguistic
846,taabt,steady
847,tabt,steady
848,fikri,intellectual
849,fa9d l2amal,desperate
850,9aDaa2i,judicial
851,tawri,revolutionary
852,imbraTouri,imperial
853,ghayr 9anoni,illegal
854,ghayr 9aanouni,illegal
855,ghayr 9aanoni,illegal
856,khaam,raw
857,khaariji,outer
858,khariji,outer
859,ghayr rsmi,informal
860,morr,bitter
861,marr,bitter
862,tjribi,experimental
863,jama3i,collective
864,kayt3awd,frequent
865,rou7i,spiritual
866,mcharji,intense
867,taarikhi,historic
868,tarikhi,historic
869,m39oul,rational
870,m39ol,rational
871,mamnasbch,inadequate
872,mamnasebch,inadequate
873,7add,acute
874,mnTi9i,logical
875,m9bol,valid
876,osbou3i,weekly
877,3chwa2i,random
878,mtwaD3,modest
879,mzyyer,tight
880,mzayyar,tight
881,mzeyyer,tight
882,automatic,automatic
883,na3s,asleep
884,na3es,asleep
885,dki,clever
886,dky,clever
887,ms2oul,liable
888,mes2oul,liable
889,motabaadal,mutual
890,motabadal,mutual
891,moDa3af,multiple
892,ti9a,reliable
893,bo7do,sole
894,nnawa7i,nearby
895,8aamichi,marginal
896,8amichi,marginal
897,mTab9,identical
898,bDDbT,exact
899,bDDebT,exact
900,bDDabT,exact
901,ntikhabi,electoral
902,momyyiz,distinctive
903,chafawi,oral
904,3ryan,bare
905,ri2aasi,presidential
906,ri2asi,presidential
907,3oDwi,organic
908,bl7sab,statistical
909,3ajil,urgent
910,3aajil,urgent
911,mrghoub,desirable
912,7Sri,exclusive
913,7eSri,exclusive
914,yawmi,everyday
915,ra2i3,superb
916,Saarim,strict
917,mamtwe99e3ch,unexpected
918,mamto99e3ch,unexpected
919,barii2,innocent
920,bari2,innocent
921,b7ri,marine
922,be7ri,marine
923,romansi,romantic
924,mSTane3,artificial
925,mo2ssasati,institutional
926,ra2i3,magnificent
927,bioloji,biological
928,biologi,biological
929,diplomasi,diplomatic
930,monaasib,convenient
931,monasib,convenient
932,8a2il,tremendous
933,8aa2il,tremendous
934,ra2smali,capitalist
935,ra2smaali,capitalist
936,khddam,functional
937,mikaniki,mechanical
938,mobaachir,straightforward
939,mami99ench,uncertain
940,mamty99ench,uncertain
941,r9mi,digital
942,mod8il,spectacular
943,3odwani,aggressive
944,3ryan,naked
945,machi 3aadil,unfair
946,mtfowwe9,superior
947,kolla ch8er,monthly
948,tchri3i,legislative
949,iDafi,spare
950,Sarii7,explicit
951,Sari7,explicit
952,mo2lim,painful
953,mtab3,successive
954,dki,intelligent
955,m9lle9,unhappy
956,m9alla9,unhappy
957,m9ll9,unhappy
958,jiini,genetic
959,maDarorich,unnecessary
960,mo2ttir,influential
961,ghir,just
962,hir,just
963,8ir,just
964,just,just
965,ji3an,hungry
966,mokttaf,intensive
967,stiwa2i,tropical
968,mowazi,parallel
969,mwazi,parallel
970,mabaynch,subtle
971,2aamin,secure
972,aamin,secure
973,lt7tani,bottom
974,ra2i3,marvelous
975,ftitaa7i,preliminary
976,iftitat7i,preliminary
977,joz2i,partial
978,a9all,lesser
979,mosa3id,assistant
980,3amoudi,vertical
981,3amodi,vertical
982,tdriiji,progressive
983,tdriji,progressive
984,9aarri,continental
985,kay3yyef,nasty
986,kay3yyf,nasty
987,raa9i,elegant
988,mlmous,concrete
989,melmous,concrete
990,mlmos,concrete
991,mo299at,interim
992,ilzami,compulsory
993,ilzaami,compulsory
994,mozmin,chronic
995,kaytkhlleS,payable
996,mn8aji,systematic
997,mnhaji,systematic
998,man8aji,systematic
999,mawDou3i,objective
1000,moDo3i,objective
1001,mowDo3i,objective
1002,momyyiz,characteristic
1003,fazg,damp
1004,7ssas,delicate
1005,momill,dull
1006,si7ri,magic
1007,mnirvi,upset
1008,awwal,premier
1009,kayD77ek,fun
1010,ra2i3,splendid
1011,khddam,operational
1012,stichaari,advisory
1013,stichari,advisory
1014,bida2i,primitive
1015,bidaa2i,primitive
1016,idioloji,ideological
1017,idyoloji,ideological
1018,tiknoloji,technological
1019,ani9,neat
1020,mo3akis,contrary
1021,mlas9,adjacent
1022,3odwani,hostile
1023,mitli,gay
1024,2aamn,peaceful
1025,kaykhle3,horrible
1026,joghrafi,geographical
1027,dinamiki,dynamic
1028,mota7rrik,dynamic
1029,momtaz,super
1030,ghayr mobachir,indirect
1031,tamiin,precious
1032,tamin,precious
1033,ghali,precious
1034,ghaali,precious
1035,ml7ouD,notable
1036,mo7ddad,definite
1037,mo2sif,unfortunate
1038,fnni,artistic
1039,fenni,artistic
1040,fanni,artistic
1041,mighnaTisi,magnetic
1042,mighnaaTisi,magnetic
1043,makayt9adach,endless
1044,charis,fierce
1045,khfif,mild
1046,mj88d,loud
1047,mje88ed,loud
1048,Tamou7,ambitious
1049,bl8Dra,verbal
1050,naDj,mature
1051,naaDj,mature
1052,chr3i,legitimate
1053,char3i,legitimate
1054,cher3i,legitimate
1055,m3rouf,well-known
1056,m3rof,well-known
1057,mo7rij,awkward
1058,raDi,content
1059,tjribi,empirical
1060,S3ib,harsh
1061,9as7,harsh
1062,mt3aaTf,sympathetic
1063,mt3aTef,sympathetic
1064,sti3mari,colonial
1065,khbit,evil
1066,chirrir,evil
1067,b7ri,naval
1068,be7ri,naval
1069,mlaa2em,favorable
1070,mla2m,favorable
1071,wsT,mid
1072,wesT,mid
1073,wasT,mid
1074,ghayb,absent
1075,was3,vague
1076,waas3,vague
1077,3ir9i,racial
1078,tmtiili,representative
1079,tmtili,representative
1080,temtiili,representative
1081,ba8t,faint
1082,7ayawi,lively
1083,saa7ili,coastal
1084,sa7ili,coastal
1085,mt7mmes,enthusiastic
1086,met7emmes,enthusiastic
1087,met7ammes,enthusiastic
1088,met7ammas,enthusiastic
1089,feminist,feminist
1090,Solb,rigid
1091,3ami9,profound
1092,8aa2il,immense
1093,nisbi,comparative
1094,gharib,peculiar
1095,mofid,beneficial
1096,motan99il,mobile
1097,montij,productive
1098,sT7i,shallow
1099,7ariiS,eager
1100,7ariS,eager
1101,remzi,symbolic
1102,ramzi,symbolic
1103,m3tadl,moderate
1104,9aatil,fatal
1105,mjmou3,compact
1106,morbi7,profitable
1107,monafis,rival
1108,jozay2i,molecular
1109,idaari,managerial
1110,ddakhili,interior
1111,khTTi,linear
1112,makafich,insufficient
1113,mo288al,eligible
1114,m3nfj,uncomfortable
1115,mamori7ch,uncomfortable
1116,mokhliS,loyal
1117,morta9ab,prospective
1118,tlwalidin,parental
1119,maali,fiscal
1120,tlflous,fiscal
1121,khawi,blank
1122,9aasi,cruel
1123,w7chi,cruel
1124,we7chi,cruel
1125,mtnww3,diverse
1126,mtnowwe3,diverse
1127,nabil,noble
1128,motaghyyir,variable
1129,mt2aSSel,inherent
1130,mt2SSal,inherent
1131,kham,crude
1132,mchbou8,suspicious
1133,mchbo8,suspicious
1134,nti9a2i,selective
1135,nti9aa2i,selective
1136,mfSSl,elaborate
1137,mtwsseT,intermediate
1138,mtwesseT,intermediate
1139,ghaamiD,mysterious
1140,ghamiD,mysterious
1141,flsafi,philosophical
1142,falsafi,philosophical
1143,felsafi,philosophical
1144,mt3mmed,deliberate
1145,7anoun,tender
1146,m7DouD,fortunate
1147,m7DoD,fortunate
1148,m7mi,protective
1149,mo9ddas,sacred
1150,sa2il,liquid
1151,saa2il,liquid
1152,chmsi,solar
1153,chmsy,solar
1154,chemsi,solar
1155,mamofri7ch,unpleasant
1156,ryaDyati,mathematical
1157,ryaDyaati,mathematical
1158,difaa3i,defensive
1159,difa3i,defensive
1160,mi3maari,architectural
1161,mi3mari,architectural
1162,ghayr monaasib,inappropriate
1163,ghayr monasib,inappropriate
1164,yadawi,manual
1165,da2iri,circular
1166,daa2iri,circular
1167,moSirr,persistent
1168,motaabir,persistent
1169,ilaahi,divine
1170,ilaa8i,divine
1171,ilahi,divine
1172,makaani,spatial
1173,mam9bolch,unacceptable
1174,mam9boulch,unacceptable
1175,msmoum,toxic
1176,mo288al,competent
1177,mtkaml,integral
1178,mtkaaml,integral
1179,mam9yousch,intact
1180,mam9yosch,intact
1181,mkhtar,select
1182,m3awd,redundant
1183,zayd,redundant
1184,za3m,bold
1185,za3em,bold
1186,8aawi,amateur
1187,8awi,amateur
1188,gddami,forward
1189,gddaami,forward
1190,9ddami,forward
1191,9ddaami,forward
1192,mabaynch,invisible
1193,mabayench,invisible
1194,mabayanch,invisible
1195,idraaki,cognitive
1196,idraki,cognitive
1197,m2sawi,tragic
1198,m2saawi,tragic
1199,mofji3,tragic
1200,mofji3,tragic
1201,tnDimi,regulatory
1202,tanDiimi,regulatory
1203,tenDiimi,regulatory
1204,tnDiimi,regulatory
1205,7aasim,decisive
1206,7asim,decisive
1207,i9limi,territorial
1208,mnTa9i,territorial
1209,fay9,awake
1210,faye9,awake
1211,faya9,awake
1212,daakhili,inland
1213,mo7tamal,probable
1214,3ksi,adverse
1215,3eksi,adverse
1216,mo7taram,respectable
1217,sakn,resident
1218,saakn,resident
1219,mo9iim,resident
1220,mo9im,resident
1221,madani,civilian
1222,ortodoxi,orthodox
1223,mt3SSeb,orthodox
1224,tabt,static
1225,taabt,static
1226,wagf,static
1227,mtwaf9,compatible
1228,mtwaaf9,compatible
1229,sababi,causal
1230,Dimni,implicit
1231,mamfrouchch,implicit
1232,9diim,old-fashioned
1233,jamaali,aesthetic
1234,jamali,aesthetic
1235,mbogs,aesthetic
1236,mjmo3,aggregate
1237,mjmou3,aggregate
1238,r9i9,slim
1239,Twil,lengthy
1240,mozdawij,dual
1241,machi mawDoo3i,subjective
1242,machi mawDo3i,subjective
1243,ra2i3,fantastic
1244,mafrasoch,unaware
1245,mawa3ich,unconscious
1246,akhla9i,ethical
1247,akhlaa9i,ethical
1248,mstili,fashionable
1249,mstyli,fashionable
1250,mjhoul,anonymous
1251,mj8oul,anonymous
1252,mj8ol,anonymous
1253,fchkel,exotic
1254,gharib,exotic
1255,moraa8i9,teenage
1256,mora8i9,teenage
1257,morahi9,teenage
1258,ghali,costly
1259,kaariti,disastrous
1260,kariti,disastrous
1261,msta9ll,autonomous
1262,msta9ell,autonomous
1263,automatic,autonomous
1264,otomatik,autonomous
